"RUBiS Transition Table","Mixed workload for session-state RUBiS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To >>>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From vvvvv","Home","Register","RegisterUser","Browse","BrowseCategories","SearchItemsInCategory","BrowseRegions","BrowseCategoriesInRegion","SearchItemsInRegion","ViewItem","ViewUserInfo","ViewBidHistory","BuyNow","StoreBuyNow","PutBid","StoreBid","PutComment","StoreComment","SelectCategorySellItem","SellItemForm","RegisterItem","AboutMe","Login","Login User","Logout","Back","AbandonSession","Wait Time","Probability Sum"
"Home",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,,1
"Register",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
"RegisterUser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1
"Browse",0,0.03,0,0,0.5,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.04,0,0,,1
"BrowseCategories",0,0.01,0,0.01,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0,,1
"SearchItemsInCategory",0,0.01,0,0.05,0,0.3,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0.02,0,0,0,0,0,0.02,0,0.2,,1
"BrowseRegions",0,0.01,0,0.01,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,,1
"BrowseCategoriesInRegion",0,0.01,0,0.01,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0,,1
"SearchItemsInRegion",0,0.03,0,0.02,0,0,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0.03,0,0,0,0,0,0.02,0,0.2,,1
"ViewItem",0,0.01,0,0.01,0,0,0,0,0,0,0.2,0.04,0.2,0,0.2,0,0.02,0,0.01,0,0,0,0,0,0.01,0.2,0.1,,1
"ViewUserInfo",0,0.02,0,0.02,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0.6,0.1,,1
"ViewBidHistory",0,0.01,0,0.01,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.76,0,,1
"BuyNow",0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,,1
"StoreBuyNow",0,0.01,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.01,0,0.2,,1
"PutBid",0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.04,0,0,0,0,0,0.1,0,0,,1
"StoreBid",0,0.01,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.01,0,0.2,,1
"PutComment",0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.01,0,0,0,0,0,0.01,0,0,,1
"StoreComment",0,0.01,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.01,0,0.2,,1
"SelectCategorySellItem",0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.96,0,0,0,0,0.01,0,0,,1
"SellItemForm",0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.96,0,0,0,0.01,0,0,,1
"RegisterItem",0,0.01,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.01,0,0.2,,1
"AboutMe",0,0.01,0,0.05,0,0,0,0,0,0.5,0.1,0,0,0,0.1,0,0,0,0.03,0,0,0,0,0,0.01,0,0.2,,1
"Login",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1
"Login User",0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.1,0,0,0.05,0,0,,1
"Logout",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
